,Componente,Unidades,Valor por 100 g,Cod,Produto
0,Energia,kJ,412,C0012A,"Arroz, creme, cozido, Orysa sativa L. <<Rice, cream, cooked, without spice>>"
1,Energia,kcal,97,C0012A,
2,Umidade,g,758,C0012A,
3,Carboidrato total,g,219,C0012A,
4,Carboidrato disponível,g,219,C0012A,
5,Proteína,g,201,C0012A,
6,Lipídios,g,14,C0012A,
7,Fibra alimentar,g,0,C0012A,
8,Cinzas,g,18,C0012A,
9,Colesterol,mg,0,C0012A,
10,Ácidos graxos saturados,g,5,C0012A,
11,Ácidos graxos monoinsaturados,g,4,C0012A,
12,Ácidos graxos poliinsaturados,g,5,C0012A,
13,Cálcio,mg,186,C0012A,
14,Ferro,mg,17,C0012A,
15,Sódio,mg,27,C0012A,
16,Magnésio,mg,132,C0012A,
17,Fósforo,mg,40,C0012A,
18,Potássio,mg,30,C0012A,
19,Manganês,mcg,33,C0012A,
20,Zinco,mg,49,C0012A,
21,Cobre,mg,1,C0012A,
22,Vitamina A (RAE),mcg,0,C0012A,
23,Vitamina D,mcg,0,C0012A,
24,Alfa-tocoferol (Vitamina E),mcg,3,C0012A,
25,Tiamina,mg,6,C0012A,
26,Vitamina B6,mg,2,C0012A,
27,Vitamina B12,mg,0,C0012A,
28,Equivalente de folato,mcg,582,C0012A,
0,Energia,kJ,1341,C0013A,
1,Energia,kcal,324,C0013A,"Arroz, farelo, Orysa sativa L. <<Rice, bran>>"
2,Umidade,g,498,C0013A,
3,Carboidrato total,g,356,C0013A,
4,Carboidrato disponível,g,112,C0013A,
5,Proteína,g,142,C0013A,
6,Lipídios,g,193,C0013A,
7,Fibra alimentar,g,244,C0013A,
8,Cinzas,g,26,C0013A,
9,Colesterol,mg,0,C0013A,
10,Ácidos graxos saturados,g,387,C0013A,
11,Ácidos graxos monoinsaturados,g,699,C0013A,
12,Ácidos graxos poliinsaturados,g,691,C0013A,
13,Cálcio,mg,577,C0013A,
14,Ferro,mg,188,C0013A,
15,Sódio,mg,507,C0013A,
16,Magnésio,mg,791,C0013A,
17,Fósforo,mg,1698,C0013A,
18,Potássio,mg,1504,C0013A,
19,Zinco,mg,612,C0013A,
20,Vitamina A (RAE),mcg,0,C0013A,
21,Vitamina D,mcg,0,C0013A,
22,Alfa-tocoferol (Vitamina E),mcg,456,C0013A,
23,Tiamina,mg,279,C0013A,
24,Riboflavina,mg,29,C0013A,
25,Niacina,mg,345,C0013A,
26,Vitamina B6,mg,412,C0013A,
27,Vitamina B12,mg,0,C0013A,
28,Vitamina C,mg,0,C0013A,
29,Equivalente de folato,mcg,638,C0013A,
0,Energia,kJ,1531,C0014A,
1,Energia,kcal,361,C0014A,
2,Umidade,g,963,C0014A,"Arroz, farinha, crua, (média diferentes marcas) <<Rice, flour, raw (mean of different branded>>"
3,Carboidrato total,g,826,C0014A,
4,Carboidrato disponível,g,818,C0014A,
5,Proteína,g,624,C0014A,
6,Lipídios,g,76,C0014A,
7,Fibra alimentar,g,79,C0014A,
8,Cinzas,g,82,C0014A,
9,Ácidos graxos saturados,g,3,C0014A,
10,Ácidos graxos monoinsaturados,g,2,C0014A,
11,Ácidos graxos poliinsaturados,g,3,C0014A,
12,Ácidos graxos trans,g,1,C0014A,
13,Cálcio,mg,411,C0014A,
14,Ferro,mg,161,C0014A,
15,Sódio,mg,907,C0014A,
16,Magnésio,mg,275,C0014A,
17,Fósforo,mg,945,C0014A,
18,Potássio,mg,637,C0014A,
19,Manganês,mcg,1,C0014A,
20,Zinco,mg,518,C0014A,
21,Cobre,mg,2,C0014A,
22,Vitamina A (RAE),mcg,0,C0014A,
23,Vitamina D,mcg,0,C0014A,
24,Alfa-tocoferol (Vitamina E),mcg,6,C0014A,
25,Tiamina,mg,173,C0014A,
26,Vitamina B6,mg,176,C0014A,
27,Vitamina B12,mg,0,C0014A,
28,Vitamina C,mg,174,C0014A,
29,Equivalente de folato,mcg,411,C0014A,
0,Energia,kJ,1513,C0015A,
1,Energia,kcal,357,C0015A,
2,Umidade,g,116,C0015A,
3,Carboidrato total,g,797,C0015A,"Arroz, farinha, ""Colombo"" <<Rice, flour, raw>>"
4,Carboidrato disponível,g,797,C0015A,
5,Proteína,g,69,C0015A,
6,Lipídios,g,11,C0015A,
7,Fibra alimentar,g,0,C0015A,
8,Cinzas,g,7,C0015A,
9,Colesterol,mg,0,C0015A,
10,Ácidos graxos saturados,g,36,C0015A,
11,Ácidos graxos monoinsaturados,g,27,C0015A,
12,Ácidos graxos poliinsaturados,g,36,C0015A,
13,Cálcio,mg,676,C0015A,
14,Ferro,mg,61,C0015A,
15,Sódio,mg,99,C0015A,
16,Magnésio,mg,482,C0015A,
17,Fósforo,mg,146,C0015A,
18,Potássio,mg,110,C0015A,
19,Manganês,mcg,119,C0015A,
20,Zinco,mg,178,C0015A,
21,Cobre,mg,4,C0015A,
22,Vitamina A (RAE),mcg,0,C0015A,
23,Vitamina D,mcg,0,C0015A,
24,Alfa-tocoferol (Vitamina E),mcg,12,C0015A,
25,Tiamina,mg,21,C0015A,
26,Vitamina B6,mg,6,C0015A,
27,Vitamina B12,mg,0,C0015A,
28,Equivalente de folato,mcg,402,C0015A,
0,Energia,kJ,455,C0016A,
1,Energia,kcal,108,C0016A,
2,Umidade,g,729,C0016A,
3,Carboidrato total,g,236,C0016A,
4,Carboidrato disponível,g,215,C0016A,"Arroz, integral, cozido, s/ sal e temperos, Orysa sativa L. <<Rice, brown, cooked, without salt and spice>>"
5,Proteína,g,245,C0016A,
6,Lipídios,g,88,C0016A,
7,Fibra alimentar,g,213,C0016A,
8,Álcool,g,0,C0016A,
9,Cinzas,g,35,C0016A,
10,Colesterol,mg,0,C0016A,
11,Ácidos graxos saturados,g,27,C0016A,
12,Ácidos graxos monoinsaturados,g,35,C0016A,
13,Ácidos graxos poliinsaturados,g,27,C0016A,
14,Cálcio,mg,202,C0016A,
15,Ferro,mg,11,C0016A,
16,Sódio,mg,49,C0016A,
17,Magnésio,mg,228,C0016A,
18,Fósforo,mg,411,C0016A,
19,Potássio,mg,292,C0016A,
20,Manganês,mcg,25,C0016A,
21,Zinco,mg,27,C0016A,
22,Cobre,mg,1,C0016A,
23,Selênio,mcg,81,C0016A,
24,Vitamina A (RE),mcg,0,C0016A,
25,Vitamina A (RAE),mcg,0,C0016A,
26,Vitamina D,mcg,0,C0016A,
27,Alfa-tocoferol (Vitamina E),mcg,2,C0016A,
28,Tiamina,mg,8,C0016A,
29,Vitamina B6,mg,8,C0016A,
30,Vitamina B12,mg,0,C0016A,
31,Vitamina C,mg,0,C0016A,
32,Equivalente de folato,mcg,403,C0016A,
0,Energia,kJ,1469,C0017A,
1,Energia,kcal,347,C0017A,
2,Umidade,g,129,C0017A,
3,Carboidrato total,g,762,C0017A,
4,Carboidrato disponível,g,723,C0017A,
5,Proteína,g,757,C0017A,"Arroz, integral, cru, Oryza sativa L., (média diferentes cultivares) <<Rice, brown, raw (mean of different cultivars)>>"
6,Lipídios,g,22,C0017A,
7,Fibra alimentar,g,39,C0017A,
8,Álcool,g,0,C0017A,
9,Cinzas,g,123,C0017A,
10,Colesterol,mg,0,C0017A,
11,Ácidos graxos saturados,g,36,C0017A,
12,Ácidos graxos monoinsaturados,g,59,C0017A,
13,Ácidos graxos poliinsaturados,g,48,C0017A,
14,Cálcio,mg,61,C0017A,
15,Ferro,mg,83,C0017A,
16,Sódio,mg,88,C0017A,
17,Magnésio,mg,448,C0017A,
18,Fósforo,mg,123,C0017A,
19,Potássio,mg,170,C0017A,
20,Manganês,mcg,126,C0017A,
21,Zinco,mg,176,C0017A,
22,Cobre,mg,13,C0017A,
23,Selênio,mcg,27,C0017A,
24,Vitamina A (RE),mcg,0,C0017A,
25,Vitamina A (RAE),mcg,0,C0017A,
26,Vitamina D,mcg,0,C0017A,
27,Alfa-tocoferol (Vitamina E),mcg,65,C0017A,
28,Tiamina,mg,26,C0017A,
29,Niacina,mg,415,C0017A,
30,Vitamina B6,mg,18,C0017A,
31,Vitamina B12,mg,0,C0017A,
32,Vitamina C,mg,0,C0017A,
33,Equivalente de folato,mcg,199,C0017A,
0,Energia,kJ,556,C0018A,
1,Energia,kcal,131,C0018A,
2,Umidade,g,669,C0018A,
3,Carboidrato total,g,301,C0018A,
4,Carboidrato disponível,g,289,C0018A,
5,Proteína,g,238,C0018A,
6,Lipídios,g,41,C0018A,"Arroz, polido, cozido, s/ sal e temperos, Orysa sativa L., (média de diferentes amostras) <<Rice, white, cooked, wihtout salt and spice>>"
7,Fibra alimentar,g,121,C0018A,
8,Álcool,g,0,C0018A,
9,Cinzas,g,31,C0018A,
10,Colesterol,mg,0,C0018A,
11,Ácidos graxos saturados,g,15,C0018A,
12,Ácidos graxos monoinsaturados,g,6,C0018A,
13,Ácidos graxos poliinsaturados,g,6,C0018A,
14,Cálcio,mg,517,C0018A,
15,Ferro,mg,33,C0018A,
16,Sódio,mg,159,C0018A,
17,Magnésio,mg,242,C0018A,
18,Fósforo,mg,198,C0018A,
19,Potássio,mg,175,C0018A,
20,Manganês,mcg,104,C0018A,
21,Zinco,mg,53,C0018A,
22,Cobre,mg,16,C0018A,
23,Selênio,mcg,17,C0018A,
24,Vitamina A (RE),mcg,0,C0018A,
25,Vitamina A (RAE),mcg,0,C0018A,
26,Vitamina D,mcg,0,C0018A,
27,Alfa-tocoferol (Vitamina E),mcg,3,C0018A,
28,Vitamina B12,mg,0,C0018A,
29,Equivalente de folato,mcg,211,C0018A,
0,Energia,kJ,1468,C0001A,
1,Energia,kcal,346,C0001A,
2,Umidade,g,13,C0001A,
3,Carboidrato total,g,791,C0001A,
4,Carboidrato disponível,g,774,C0001A,
5,Proteína,g,705,C0001A,
6,Lipídios,g,51,C0001A,
7,Fibra alimentar,g,169,C0001A,"Arroz, polido, cru, Orysa sativa L., (média de diferentes amostras) <<Rice, white, raw (mean of different samples)>>"
8,Álcool,g,0,C0001A,
9,Cinzas,g,48,C0001A,
10,Colesterol,mg,0,C0001A,
11,Ácidos graxos saturados,g,17,C0001A,
12,Ácidos graxos monoinsaturados,g,17,C0001A,
13,Ácidos graxos poliinsaturados,g,17,C0001A,
14,Cálcio,mg,481,C0001A,
15,Ferro,mg,46,C0001A,
16,Sódio,mg,113,C0001A,
17,Magnésio,mg,296,C0001A,
18,Fósforo,mg,928,C0001A,
19,Potássio,mg,593,C0001A,
20,Manganês,mcg,111,C0001A,
21,Zinco,mg,124,C0001A,
22,Cobre,mg,13,C0001A,
23,Selênio,mcg,19,C0001A,
24,Vitamina A (RE),mcg,0,C0001A,
25,Vitamina A (RAE),mcg,0,C0001A,
26,Vitamina D,mcg,0,C0001A,
27,Alfa-tocoferol (Vitamina E),mcg,8,C0001A,
28,Tiamina,mg,17,C0001A,
29,Niacina,mg,102,C0001A,
30,Vitamina B6,mg,6,C0001A,
31,Vitamina B12,mg,0,C0001A,
32,Vitamina C,mg,0,C0001A,
33,Equivalente de folato,mcg,788,C0001A,
0,Energia,kJ,431,C0019A,
1,Energia,kcal,102,C0019A,
2,Umidade,g,768,C0019A,
3,Carboidrato total,g,162,C0019A,
4,Carboidrato disponível,g,162,C0019A,
5,Proteína,g,418,C0019A,
6,Lipídios,g,231,C0019A,
7,Fibra alimentar,g,411,C0019A,
8,Cinzas,g,67,C0019A,"Aveia, farelo, cozida, Avena sativa <<Oat, bran, cooked>>"
9,Colesterol,mg,0,C0019A,
10,Ácidos graxos saturados,g,44,C0019A,
11,Ácidos graxos monoinsaturados,g,79,C0019A,
12,Ácidos graxos poliinsaturados,g,92,C0019A,
13,Cálcio,mg,146,C0019A,
14,Ferro,mg,128,C0019A,
15,Sódio,mg,146,C0019A,
16,Magnésio,mg,582,C0019A,
17,Fósforo,mg,174,C0019A,
18,Potássio,mg,134,C0019A,
19,Zinco,mg,78,C0019A,
20,Vitamina A (RAE),mcg,0,C0019A,
21,Vitamina D,mcg,0,C0019A,
22,Tiamina,mg,24,C0019A,
23,Riboflavina,mg,5,C0019A,
24,Niacina,mg,21,C0019A,
25,Vitamina B6,mg,4,C0019A,
26,Vitamina B12,mg,0,C0019A,
27,Vitamina C,mg,0,C0019A,
28,Equivalente de folato,mcg,873,C0019A,
0,Energia,kJ,204,C0020A,
1,Energia,kcal,49,C0020A,
2,Umidade,g,881,C0020A,
3,Carboidrato total,g,895,C0020A,
4,Carboidrato disponível,g,76,C0020A,
5,Proteína,g,193,C0020A,
6,Lipídios,g,84,C0020A,
7,Fibra alimentar,g,135,C0020A,
8,Cinzas,g,18,C0020A,
9,Colesterol,mg,0,C0020A,"Aveia, farinha, cozida, Avena sativa <<Oat, flour, cooked>>"
10,Ácidos graxos saturados,g,16,C0020A,
11,Ácidos graxos monoinsaturados,g,32,C0020A,
12,Ácidos graxos poliinsaturados,g,3,C0020A,
13,Cálcio,mg,628,C0020A,
14,Ferro,mg,59,C0020A,
15,Sódio,mg,61,C0020A,
16,Magnésio,mg,156,C0020A,
17,Fósforo,mg,201,C0020A,
18,Potássio,mg,441,C0020A,
19,Manganês,mcg,25,C0020A,
20,Zinco,mg,35,C0020A,
21,Cobre,mg,6,C0020A,
22,Vitamina A (RAE),mcg,0,C0020A,
23,Vitamina D,mcg,0,C0020A,
24,Alfa-tocoferol (Vitamina E),mcg,5,C0020A,
25,Tiamina,mg,8,C0020A,
26,Riboflavina,mg,1,C0020A,
27,Niacina,mg,59,C0020A,
28,Vitamina B12,mg,0,C0020A,
29,Vitamina C,mg,18,C0020A,
30,Equivalente de folato,mcg,436,C0020A,
0,Energia,kJ,1599,C0021A,
1,Energia,kcal,380,C0021A,
2,Umidade,g,893,C0021A,
3,Carboidrato total,g,657,C0021A,
4,Carboidrato disponível,g,558,C0021A,
5,Proteína,g,154,C0021A,
6,Lipídios,g,842,C0021A,
7,Fibra alimentar,g,983,C0021A,
8,Cinzas,g,172,C0021A,
9,Ácidos graxos saturados,g,154,C0021A,
10,Ácidos graxos monoinsaturados,g,316,C0021A,"Aveia, crua, Avena sativa, (média diferentes tipos) <<Oat, raw>>"
11,Ácidos graxos poliinsaturados,g,302,C0021A,
12,Cálcio,mg,479,C0021A,
13,Ferro,mg,445,C0021A,
14,Sódio,mg,463,C0021A,
15,Magnésio,mg,119,C0021A,
16,Fósforo,mg,154,C0021A,
17,Potássio,mg,337,C0021A,
18,Manganês,mcg,305,C0021A,
19,Zinco,mg,263,C0021A,
20,Cobre,mg,44,C0021A,
21,Vitamina A (RAE),mcg,0,C0021A,
22,Vitamina D,mcg,0,C0021A,
23,Tiamina,mg,56,C0021A,
24,Riboflavina,mg,3,C0021A,
25,Niacina,mg,447,C0021A,
26,Vitamina B12,mg,0,C0021A,
27,Vitamina C,mg,135,C0021A,
28,Equivalente de folato,mcg,556,C0021A,
0,Energia,kJ,1559,C0022A,
1,Energia,kcal,371,C0022A,
2,Umidade,g,98,C0022A,
3,Carboidrato total,g,67,C0022A,
4,Carboidrato disponível,g,568,C0022A,
5,Proteína,g,149,C0022A,
6,Lipídios,g,7,C0022A,
7,Fibra alimentar,g,103,C0022A,
8,Cinzas,g,13,C0022A,
9,Ácidos graxos saturados,g,127,C0022A,
10,Ácidos graxos monoinsaturados,g,26,C0022A,
11,Ácidos graxos poliinsaturados,g,249,C0022A,"Aveia, farinha, crua, ""Mac Bits"", Avena sativa <<Oat, flour, raw>>"
12,Cálcio,mg,476,C0022A,
13,Ferro,mg,442,C0022A,
14,Sódio,mg,46,C0022A,
15,Magnésio,mg,118,C0022A,
16,Fósforo,mg,153,C0022A,
17,Potássio,mg,334,C0022A,
18,Manganês,mcg,189,C0022A,
19,Zinco,mg,262,C0022A,
20,Cobre,mg,44,C0022A,
21,Vitamina A (RAE),mcg,0,C0022A,
22,Vitamina D,mcg,0,C0022A,
23,Tiamina,mg,55,C0022A,
24,Riboflavina,mg,3,C0022A,
25,Niacina,mg,444,C0022A,
26,Vitamina B12,mg,0,C0022A,
27,Vitamina C,mg,135,C0022A,
28,Equivalente de folato,mcg,551,C0022A,
0,Energia,kJ,1726,C0023A,
1,Energia,kcal,410,C0023A,
2,Umidade,g,96,C0023A,
3,Carboidrato total,g,574,C0023A,
4,Carboidrato disponível,g,574,C0023A,
5,Proteína,g,193,C0023A,
6,Lipídios,g,114,C0023A,
7,Fibra alimentar,g,0,C0023A,
8,Cinzas,g,23,C0023A,
9,Colesterol,mg,0,C0023A,
10,Ácidos graxos saturados,g,216,C0023A,
11,Ácidos graxos monoinsaturados,g,386,C0023A,
12,Ácidos graxos poliinsaturados,g,449,C0023A,"Aveia, fibras, Avena sativa <<Oat, fiber>>"
13,Cálcio,mg,562,C0023A,
14,Ferro,mg,524,C0023A,
15,Sódio,mg,387,C0023A,
16,Magnésio,mg,228,C0023A,
17,Fósforo,mg,711,C0023A,
18,Potássio,mg,548,C0023A,
19,Zinco,mg,301,C0023A,
20,Vitamina A (RAE),mcg,0,C0023A,
21,Vitamina D,mcg,0,C0023A,
22,Tiamina,mg,114,C0023A,
23,Riboflavina,mg,22,C0023A,
24,Niacina,mg,91,C0023A,
25,Vitamina B6,mg,16,C0023A,
26,Vitamina B12,mg,0,C0023A,
27,Vitamina C,mg,0,C0023A,
28,Equivalente de folato,mcg,504,C0023A,
0,Energia,kJ,1595,C0024A,
1,Energia,kcal,379,C0024A,
2,Umidade,g,98,C0024A,
3,Carboidrato total,g,645,C0024A,
4,Carboidrato disponível,g,55,C0024A,
5,Proteína,g,156,C0024A,
6,Lipídios,g,86,C0024A,
7,Fibra alimentar,g,95,C0024A,
8,Cinzas,g,15,C0024A,
9,Ácidos graxos saturados,g,156,C0024A,
10,Ácidos graxos monoinsaturados,g,32,C0024A,
11,Ácidos graxos poliinsaturados,g,306,C0024A,
12,Cálcio,mg,476,C0024A,
13,Ferro,mg,442,C0024A,"Aveia, flocos, finos, ""Float"", Avena sativa <<Oat, flakes>>"
14,Sódio,mg,46,C0024A,
15,Magnésio,mg,118,C0024A,
16,Fósforo,mg,153,C0024A,
17,Potássio,mg,334,C0024A,
18,Manganês,mcg,189,C0024A,
19,Zinco,mg,262,C0024A,
20,Cobre,mg,44,C0024A,
21,Vitamina A (RAE),mcg,0,C0024A,
22,Vitamina D,mcg,0,C0024A,
23,Tiamina,mg,55,C0024A,
24,Riboflavina,mg,3,C0024A,
25,Niacina,mg,444,C0024A,
26,Vitamina B12,mg,0,C0024A,
27,Vitamina C,mg,135,C0024A,
28,Equivalente de folato,mcg,551,C0024A,
0,Energia,kJ,1608,C0025A,
1,Energia,kcal,383,C0025A,
2,Umidade,g,98,C0025A,
3,Carboidrato total,g,638,C0025A,
4,Carboidrato disponível,g,545,C0025A,
5,Proteína,g,157,C0025A,
6,Lipídios,g,92,C0025A,
7,Fibra alimentar,g,938,C0025A,
8,Cinzas,g,15,C0025A,
9,Ácidos graxos saturados,g,167,C0025A,
10,Ácidos graxos monoinsaturados,g,342,C0025A,
11,Ácidos graxos poliinsaturados,g,327,C0025A,
12,Cálcio,mg,476,C0025A,
13,Ferro,mg,442,C0025A,
14,Sódio,mg,46,C0025A,"Aveia, flocos, finos, instantânea, ""Float"", Avena sativa <<Oat, flakes>>"
15,Magnésio,mg,118,C0025A,
16,Fósforo,mg,153,C0025A,
17,Potássio,mg,334,C0025A,
18,Manganês,mcg,189,C0025A,
19,Zinco,mg,262,C0025A,
20,Cobre,mg,44,C0025A,
21,Vitamina A (RAE),mcg,0,C0025A,
22,Tiamina,mg,55,C0025A,
23,Riboflavina,mg,3,C0025A,
24,Niacina,mg,444,C0025A,
25,Vitamina B12,mg,0,C0025A,
26,Vitamina C,mg,135,C0025A,
27,Equivalente de folato,mcg,551,C0025A,
0,Energia,kJ,1631,C0026A,
1,Energia,kcal,388,C0026A,
2,Umidade,g,55,C0026A,
3,Carboidrato total,g,683,C0026A,
4,Carboidrato disponível,g,57,C0026A,
5,Proteína,g,154,C0026A,
6,Lipídios,g,84,C0026A,
7,Fibra alimentar,g,114,C0026A,
8,Cinzas,g,25,C0026A,
9,Ácidos graxos saturados,g,153,C0026A,
10,Ácidos graxos monoinsaturados,g,312,C0026A,
11,Ácidos graxos poliinsaturados,g,299,C0026A,
12,Cálcio,mg,499,C0026A,
13,Ferro,mg,463,C0026A,
14,Sódio,mg,482,C0026A,
15,Magnésio,mg,124,C0026A,"Aveia, flocos, finos, ""Neston"", Avena sativa <<Oat, flakes>>"
16,Fósforo,mg,160,C0026A,
17,Potássio,mg,350,C0026A,
18,Manganês,mcg,198,C0026A,
19,Zinco,mg,274,C0026A,
20,Cobre,mg,46,C0026A,
21,Vitamina A (RAE),mcg,0,C0026A,
22,Vitamina D,mcg,0,C0026A,
23,Tiamina,mg,58,C0026A,
24,Riboflavina,mg,4,C0026A,
25,Niacina,mg,465,C0026A,
26,Vitamina B12,mg,0,C0026A,
27,Vitamina C,mg,141,C0026A,
28,Equivalente de folato,mcg,577,C0026A,
0,Energia,kJ,1835,C0027A,
1,Energia,kcal,436,C0027A,
2,Umidade,g,257,C0027A,
3,Carboidrato total,g,763,C0027A,
4,Carboidrato disponível,g,736,C0027A,
5,Proteína,g,839,C0027A,
6,Lipídios,g,114,C0027A,
7,Fibra alimentar,g,274,C0027A,
8,Cinzas,g,143,C0027A,
9,Ácidos graxos saturados,g,39,C0027A,
10,Ácidos graxos monoinsaturados,g,37,C0027A,
11,Ácidos graxos poliinsaturados,g,22,C0027A,
12,Ácidos graxos trans,g,158,C0027A,
13,Cálcio,mg,545,C0027A,
14,Ferro,mg,176,C0027A,
15,Sódio,mg,353,C0027A,
16,Magnésio,mg,372,C0027A,"Biscoito, doce, simples, (média diferentes tipos) <<Cookies (mean of different types)>>"
17,Fósforo,mg,167,C0027A,
18,Potássio,mg,142,C0027A,
19,Manganês,mcg,78,C0027A,
20,Zinco,mg,98,C0027A,
21,Cobre,mg,17,C0027A,
22,Selênio,mcg,48,C0027A,
23,Vitamina A (RAE),mcg,108,C0027A,
24,Vitamina D,mcg,0,C0027A,
25,Tiamina,mg,101,C0027A,
26,Riboflavina,mg,42,C0027A,
27,Niacina,mg,391,C0027A,
28,Vitamina B6,mg,23,C0027A,
29,Vitamina B12,mg,21,C0027A,
30,Vitamina C,mg,622,C0027A,
31,Equivalente de folato,mcg,201,C0027A,
0,Energia,kJ,1828,C0028A,
1,Energia,kcal,434,C0028A,
2,Umidade,g,2,C0028A,
3,Carboidrato total,g,762,C0028A,
4,Carboidrato disponível,g,734,C0028A,
5,Proteína,g,93,C0028A,
6,Lipídios,g,108,C0028A,
7,Fibra alimentar,g,28,C0028A,
8,Cinzas,g,17,C0028A,
9,Ácidos graxos saturados,g,352,C0028A,
10,Ácidos graxos monoinsaturados,g,334,C0028A,
11,Ácidos graxos poliinsaturados,g,199,C0028A,
12,Ácidos graxos trans,g,143,C0028A,
13,Cálcio,mg,552,C0028A,
14,Ferro,mg,179,C0028A,
15,Sódio,mg,357,C0028A,
16,Magnésio,mg,377,C0028A,
17,Fósforo,mg,169,C0028A,"Biscoito, doce, Maria, ""Marilan"" <<Cookies>>"
18,Potássio,mg,144,C0028A,
19,Manganês,mcg,79,C0028A,
20,Zinco,mg,105,C0028A,
21,Cobre,mg,18,C0028A,
22,Vitamina A (RAE),mcg,103,C0028A,
23,Vitamina D,mcg,0,C0028A,
24,Tiamina,mg,103,C0028A,
25,Riboflavina,mg,43,C0028A,
26,Niacina,mg,396,C0028A,
27,Vitamina B6,mg,24,C0028A,
28,Vitamina B12,mg,21,C0028A,
29,Vitamina C,mg,63,C0028A,
30,Equivalente de folato,mcg,203,C0028A,
0,Energia,kJ,1958,C0029A,
1,Energia,kcal,466,C0029A,
2,Umidade,g,255,C0029A,
3,Carboidrato total,g,707,C0029A,
4,Carboidrato disponível,g,694,C0029A,
5,Proteína,g,878,C0029A,
6,Lipídios,g,168,C0029A,
7,Fibra alimentar,g,132,C0029A,
8,Cinzas,g,131,C0029A,
9,Colesterol,mg,233,C0029A,
10,Ácidos graxos saturados,g,985,C0029A,
11,Ácidos graxos monoinsaturados,g,492,C0029A,
12,Ácidos graxos poliinsaturados,g,88,C0029A,
13,Cálcio,mg,297,C0029A,
14,Ferro,mg,3,C0029A,
15,Sódio,mg,359,C0029A,
16,Magnésio,mg,123,C0029A,
17,Fósforo,mg,105,C0029A,
18,Potássio,mg,114,C0029A,"Biscoito, doce, amanteigado, (média diferentes sabores) <<Cookies, butter>>"
19,Manganês,mcg,79,C0029A,
20,Zinco,mg,39,C0029A,
21,Cobre,mg,18,C0029A,
22,Vitamina A (RAE),mcg,143,C0029A,
23,Tiamina,mg,68,C0029A,
24,Riboflavina,mg,8,C0029A,
25,Niacina,mg,33,C0029A,
26,Vitamina B6,mg,4,C0029A,
27,Vitamina B12,mg,37,C0029A,
28,Vitamina C,mg,0,C0029A,
29,Equivalente de folato,mcg,0,C0029A,
0,Energia,kJ,1971,C0030A,
1,Energia,kcal,469,C0030A,
2,Umidade,g,247,C0030A,
3,Carboidrato total,g,717,C0030A,
4,Carboidrato disponível,g,717,C0030A,
5,Proteína,g,787,C0030A,
6,Lipídios,g,168,C0030A,
7,Fibra alimentar,g,0,C0030A,
8,Cinzas,g,13,C0030A,
9,Colesterol,mg,105,C0030A,
10,Ácidos graxos saturados,g,985,C0030A,
11,Ácidos graxos monoinsaturados,g,492,C0030A,
12,Ácidos graxos poliinsaturados,g,88,C0030A,
13,Cálcio,mg,297,C0030A,
14,Ferro,mg,3,C0030A,
15,Sódio,mg,359,C0030A,
16,Magnésio,mg,123,C0030A,
17,Fósforo,mg,105,C0030A,
18,Potássio,mg,114,C0030A,
19,Manganês,mcg,79,C0030A,"Biscoito, doce, amanteigado, banana c/ canela, ""Bauducco"" <<Cookies, butter, banana with cinnamon>>"
20,Zinco,mg,39,C0030A,
21,Cobre,mg,18,C0030A,
22,Vitamina A (RAE),mcg,143,C0030A,
23,Tiamina,mg,68,C0030A,
24,Riboflavina,mg,8,C0030A,
25,Niacina,mg,33,C0030A,
26,Vitamina B6,mg,4,C0030A,
27,Vitamina B12,mg,37,C0030A,
28,Vitamina C,mg,0,C0030A,
29,Equivalente de folato,mcg,0,C0030A,
0,Energia,kJ,2002,C0031A,
1,Energia,kcal,477,C0031A,
2,Umidade,g,164,C0031A,
3,Carboidrato total,g,709,C0031A,
4,Carboidrato disponível,g,709,C0031A,
5,Proteína,g,845,C0031A,
6,Lipídios,g,177,C0031A,
7,Fibra alimentar,g,0,C0031A,
8,Cinzas,g,138,C0031A,
9,Colesterol,mg,110,C0031A,
10,Ácidos graxos saturados,g,104,C0031A,
11,Ácidos graxos monoinsaturados,g,518,C0031A,
12,Ácidos graxos poliinsaturados,g,93,C0031A,
13,Cálcio,mg,299,C0031A,
14,Ferro,mg,3,C0031A,
15,Sódio,mg,362,C0031A,
16,Magnésio,mg,124,C0031A,
17,Fósforo,mg,106,C0031A,
18,Potássio,mg,115,C0031A,
19,Manganês,mcg,8,C0031A,
20,Zinco,mg,4,C0031A,"Biscoito, doce, amanteigado, chocolate, ""Bauducco"" <<Cookies, butter, chocolate>>"
21,Cobre,mg,18,C0031A,
22,Vitamina A (RAE),mcg,151,C0031A,
23,Tiamina,mg,69,C0031A,
24,Riboflavina,mg,8,C0031A,
25,Niacina,mg,33,C0031A,
26,Vitamina B6,mg,4,C0031A,
27,Vitamina B12,mg,38,C0031A,
28,Vitamina C,mg,0,C0031A,
29,Equivalente de folato,mcg,0,C0031A,
0,Energia,kJ,1940,C0032A,
1,Energia,kcal,462,C0032A,
2,Umidade,g,15,C0032A,
3,Carboidrato total,g,713,C0032A,
4,Carboidrato disponível,g,676,C0032A,
5,Proteína,g,99,C0032A,
6,Lipídios,g,16,C0032A,
7,Fibra alimentar,g,37,C0032A,
8,Cinzas,g,13,C0032A,
9,Colesterol,mg,996,C0032A,
